Generation,Best Fitness Score
1,48.099999999999994
2,48.099999999999994
3,48.3
4,48.8
5,49.0
6,49.0
7,49.49999999999999
8,49.49999999999999
9,49.49999999999999
10,49.49999999999999
11,49.49999999999999
12,49.899999999999984
13,49.899999999999984
14,50.29999999999998
15,50.29999999999998
16,50.29999999999998
17,50.29999999999998
18,50.29999999999998
19,50.29999999999998
20,50.29999999999999
21,50.29999999999999
22,50.29999999999999
23,50.29999999999999
24,50.29999999999999
25,50.29999999999999
26,50.29999999999999
27,50.29999999999999
28,50.29999999999999
29,50.29999999999999
30,50.29999999999999
31,50.29999999999999
32,50.29999999999999
33,50.29999999999999
34,50.29999999999999
35,50.29999999999999
36,50.29999999999999
37,50.29999999999999
38,50.29999999999999
39,50.699999999999996
40,50.699999999999996
41,50.699999999999996
42,50.699999999999996
43,50.699999999999996
44,50.699999999999996
45,50.699999999999996
46,50.699999999999996
47,50.699999999999996
48,50.699999999999996
49,50.699999999999996
50,50.699999999999996
51,50.699999999999996
52,50.699999999999996
53,50.699999999999996
54,50.699999999999996
55,50.699999999999996
56,50.699999999999996
57,50.699999999999996
58,50.699999999999996
59,50.699999999999996
60,50.699999999999996
61,50.699999999999996
62,50.699999999999996
63,50.699999999999996
64,50.699999999999996
65,50.699999999999996
66,50.699999999999996
67,50.699999999999996
68,50.699999999999996
69,50.699999999999996
70,50.699999999999996
71,50.699999999999996
72,50.699999999999996
73,50.699999999999996
74,50.699999999999996
75,50.699999999999996
76,50.699999999999996
77,50.699999999999996
78,50.699999999999996
79,50.699999999999996
80,50.699999999999996
81,50.699999999999996
82,50.699999999999996
83,50.699999999999996
84,50.699999999999996
85,50.699999999999996
86,50.699999999999996
87,50.699999999999996
88,50.699999999999996
89,50.699999999999996
90,50.699999999999996
91,50.699999999999996
92,50.699999999999996
93,50.699999999999996
94,50.699999999999996
95,50.699999999999996
96,50.699999999999996
97,50.699999999999996
98,50.699999999999996
99,50.699999999999996
100,50.699999999999996
